iso,year,burned_ha,retrieved_utc
ITA,2018,14002,2026-07-30T11:28:45+00:00
ITA,2019,36887,2026-07-30T11:28:45+00:00
ITA,2020,53750,2026-07-30T11:28:45+00:00
ITA,2021,150552,2026-07-30T11:28:45+00:00
ITA,2022,58751,2026-07-30T11:28:45+00:00
ITA,2023,97984,2026-07-30T11:28:45+00:00
ITA,2024,40122,2026-07-30T11:28:45+00:00
ITA,2025,84348,2026-07-30T11:28:45+00:00
ITA,2026,69336,2026-07-30T11:28:45+00:00
LTU,2006,0,2026-07-30T11:28:45+00:00
LTU,2007,0,2026-07-30T11:28:45+00:00
LTU,2008,0,2026-07-30T11:28:45+00:00
LTU,2009,0,2026-07-30T11:28:45+00:00
LTU,2010,0,2026-07-30T11:28:45+00:00
LTU,2011,0,2026-07-30T11:28:45+00:00
LTU,2012,0,2026-07-30T11:28:45+00:00
LTU,2013,0,2026-07-30T11:28:45+00:00
LTU,2014,0,2026-07-30T11:28:45+00:00
LTU,2015,0,2026-07-30T11:28:45+00:00
LTU,2016,0,2026-07-30T11:28:45+00:00
LTU,2017,0,2026-07-30T11:28:45+00:00
LTU,2018,0,2026-07-30T11:28:45+00:00
LTU,2019,236,2026-07-30T11:28:45+00:00
LTU,2020,43,2026-07-30T11:28:45+00:00
LTU,2021,0,2026-07-30T11:28:45+00:00
LTU,2022,0,2026-07-30T11:28:45+00:00
LTU,2023,305,2026-07-30T11:28:45+00:00
LTU,2024,0,2026-07-30T11:28:45+00:00
LTU,2025,0,2026-07-30T11:28:45+00:00
LTU,2026,46,2026-07-30T11:28:45+00:00
LUX,2006,0,2026-07-30T11:28:45+00:00
LUX,2007,0,2026-07-30T11:28:45+00:00
LUX,2008,0,2026-07-30T11:28:45+00:00
LUX,2009,0,2026-07-30T11:28:45+00:00
LUX,2010,0,2026-07-30T11:28:45+00:00
LUX,2011,0,2026-07-30T11:28:45+00:00
LUX,2012,0,2026-07-30T11:28:45+00:00
LUX,2013,0,2026-07-30T11:28:45+00:00
LUX,2014,0,2026-07-30T11:28:45+00:00
LUX,2015,0,2026-07-30T11:28:45+00:00
LUX,2016,0,2026-07-30T11:28:45+00:00
LUX,2017,0,2026-07-30T11:28:45+00:00
LUX,2018,0,2026-07-30T11:28:45+00:00
LUX,2019,0,2026-07-30T11:28:45+00:00
LUX,2020,0,2026-07-30T11:28:45+00:00
LUX,2021,0,2026-07-30T11:28:45+00:00
LUX,2022,0,2026-07-30T11:28:45+00:00
LUX,2023,0,2026-07-30T11:28:45+00:00
LUX,2024,0,2026-07-30T11:28:45+00:00
LUX,2025,0,2026-07-30T11:28:45+00:00
LUX,2026,0,2026-07-30T11:28:45+00:00
LVA,2006,0,2026-07-30T11:28:45+00:00
